categories_alias,categories_title,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,rating,location,coordinates,photos,hours
chiropractors,Chiropractors,ZtJkccV30ElA5LqaNP3d1Q,the-backsmith-chiropractic-and-massage-clinic-rexburg-2,The Backsmith: Chiropractic & Massage Clinic,,True,False,https://www.yelp.com/biz/the-backsmith-chiropractic-and-massage-clinic-rexburg-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592313,(208) 359-2313,2,5.0,"{'address1': '45 E Main St', 'address2': '', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['45 E Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.826289, 'longitude': -111.7822369}",[],"{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,6YDFgjrGM3DVkm9eee7l-g,align-your-health-chiropractic-rexburg,Align Your Health Chiropractic,https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg,True,False,https://www.yelp.com/biz/align-your-health-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083566159,(208) 356-6159,3,5.0,"{'address1': '859 S Yellowsotne Hwy', 'address2': 'Ste 301', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['859 S Yellowsotne Hwy', 'Ste 301', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8069877624512, 'longitude': -111.804054260254}","['https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/pLMYQqOAJQUJ665xQOLnTw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2SRGBY1zhHG3V076dUVPww/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}"
physicaltherapy,Physical Therapy,6YDFgjrGM3DVkm9eee7l-g,align-your-health-chiropractic-rexburg,Align Your Health Chiropractic,https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg,True,False,https://www.yelp.com/biz/align-your-health-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083566159,(208) 356-6159,3,5.0,"{'address1': '859 S Yellowsotne Hwy', 'address2': 'Ste 301', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['859 S Yellowsotne Hwy', 'Ste 301', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8069877624512, 'longitude': -111.804054260254}","['https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/pLMYQqOAJQUJ665xQOLnTw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2SRGBY1zhHG3V076dUVPww/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}"
massage_therapy,Massage Therapy,6YDFgjrGM3DVkm9eee7l-g,align-your-health-chiropractic-rexburg,Align Your Health Chiropractic,https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg,True,False,https://www.yelp.com/biz/align-your-health-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083566159,(208) 356-6159,3,5.0,"{'address1': '859 S Yellowsotne Hwy', 'address2': 'Ste 301', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['859 S Yellowsotne Hwy', 'Ste 301', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8069877624512, 'longitude': -111.804054260254}","['https://s3-media4.fl.yelpcdn.com/bphoto/QaPNpr7y2eBhHjnhRuvXIQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/pLMYQqOAJQUJ665xQOLnTw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2SRGBY1zhHG3V076dUVPww/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1830', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}"
sportsmed,Sports Medicine,hySMEwO7jf9Eo-cXFRdgsw,summit-spine-and-sport-chiropractic-rexburg,Summit Spine and Sport Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/kVMgYA-uNZdJz6JqgsWHag/o.jpg,True,False,https://www.yelp.com/biz/summit-spine-and-sport-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12088815525,(208) 881-5525,5,4.0,"{'address1': '237 N 2nd E', 'address2': 'Ste 106', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['237 N 2nd E', 'Ste 106', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.83118, 'longitude': -111.77856}","['https://s3-media1.fl.yelpcdn.com/bphoto/kVMgYA-uNZdJz6JqgsWHag/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/9YWN3G43F6FbBYpcqyzTUQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/x0NJGeLHXr-iPDw6t8ufBg/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,hySMEwO7jf9Eo-cXFRdgsw,summit-spine-and-sport-chiropractic-rexburg,Summit Spine and Sport Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/kVMgYA-uNZdJz6JqgsWHag/o.jpg,True,False,https://www.yelp.com/biz/summit-spine-and-sport-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12088815525,(208) 881-5525,5,4.0,"{'address1': '237 N 2nd E', 'address2': 'Ste 106', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['237 N 2nd E', 'Ste 106', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.83118, 'longitude': -111.77856}","['https://s3-media1.fl.yelpcdn.com/bphoto/kVMgYA-uNZdJz6JqgsWHag/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/9YWN3G43F6FbBYpcqyzTUQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/x0NJGeLHXr-iPDw6t8ufBg/o.jpg']","{'open': [{'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,wxTGMiUzvCG8vPO5Lrdmsg,back-to-health-chiropractic-rexburg,Back To Health Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/y6XVT482J3L-NThtnNxUQg/o.jpg,True,False,https://www.yelp.com/biz/back-to-health-chiropractic-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592264,(208) 359-2264,3,3.5,"{'address1': '60 S 2nd W', 'address2': '', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['60 S 2nd W', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.82473, 'longitude': -111.7898}",['https://s3-media2.fl.yelpcdn.com/bphoto/y6XVT482J3L-NThtnNxUQg/o.jpg'],"{'open': [{'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
chiropractors,Chiropractors,QrUBq73qkY6c0uCyRNKUAQ,rexburg-chiropractic-center-rexburg,Rexburg Chiropractic Center,,True,False,https://www.yelp.com/biz/rexburg-chiropractic-center-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083566772,(208) 356-6772,3,3.5,"{'address1': '105 W Main St', 'address2': '', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['105 W Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.82573, 'longitude': -111.78698}",[],"{'open': [{'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
nutritionists,Nutritionists,QrUBq73qkY6c0uCyRNKUAQ,rexburg-chiropractic-center-rexburg,Rexburg Chiropractic Center,,True,False,https://www.yelp.com/biz/rexburg-chiropractic-center-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083566772,(208) 356-6772,3,3.5,"{'address1': '105 W Main St', 'address2': '', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['105 W Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.82573, 'longitude': -111.78698}",[],"{'open': [{'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}"
