categories_alias,categories_title,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,rating,location,coordinates,photos,hours
drugstores,Drugstores,Doe2ZkU0I2IfFjbneNR42w,the-medicine-shoppe-rexburg,The Medicine Shoppe® Pharmacy,https://s3-media2.fl.yelpcdn.com/bphoto/Inzs0O3U29lLmqNVBQtg1A/o.jpg,False,False,https://www.yelp.com/biz/the-medicine-shoppe-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083564481,(208) 356-4481,1,5.0,"{'address1': '167 W Main', 'address2': 'Ste 1', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['167 W Main', 'Ste 1', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.82559, 'longitude': -111.78918}","['https://s3-media2.fl.yelpcdn.com/bphoto/Inzs0O3U29lLmqNVBQtg1A/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/jXk4qknt1n0L3HHpTKCz1g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/zHocVFfaufY8XNK7n902Cw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
drugstores,Drugstores,puwyM2FlsNJAa17zJmNyqw,walgreens-rexburg,Walgreens,https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg,True,False,https://www.yelp.com/biz/walgreens-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12082275076,(208) 227-5076,7,1.5,"{'address1': '164 E Main St', 'address2': None, 'address3': None, 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['164 E Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8256575, 'longitude': -111.7789507}","['https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/-t-HCZSRh4sn9OWeVlN52w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/rKEaKDl3kyYqYSCA3yYRlA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
cosmetics,Cosmetics & Beauty Supply,puwyM2FlsNJAa17zJmNyqw,walgreens-rexburg,Walgreens,https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg,True,False,https://www.yelp.com/biz/walgreens-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12082275076,(208) 227-5076,7,1.5,"{'address1': '164 E Main St', 'address2': None, 'address3': None, 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['164 E Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8256575, 'longitude': -111.7789507}","['https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/-t-HCZSRh4sn9OWeVlN52w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/rKEaKDl3kyYqYSCA3yYRlA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
convenience,Convenience Stores,puwyM2FlsNJAa17zJmNyqw,walgreens-rexburg,Walgreens,https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg,True,False,https://www.yelp.com/biz/walgreens-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12082275076,(208) 227-5076,7,1.5,"{'address1': '164 E Main St', 'address2': None, 'address3': None, 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['164 E Main St', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8256575, 'longitude': -111.7789507}","['https://s3-media2.fl.yelpcdn.com/bphoto/OTPaXA1xTHofRbyhGFfJ8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/-t-HCZSRh4sn9OWeVlN52w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/rKEaKDl3kyYqYSCA3yYRlA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
grocery,Grocery,LAdaBjIKgg406ITEX2_Jzw,walmart-supercenter-rexburg-2,Walmart Supercenter,https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg,True,False,https://www.yelp.com/biz/walmart-supercenter-rexburg-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592809,(208) 359-2809,6,2.0,"{'address1': '1450 North 2nd E', 'address2': None, 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['1450 North 2nd E', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8558969, 'longitude': -111.7738651}","['https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/kQlr4FM7e0QCqhs1wc-siw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/JvjyHS5ES2WDfRE9ThSuNg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
pharmacy,Pharmacy,LAdaBjIKgg406ITEX2_Jzw,walmart-supercenter-rexburg-2,Walmart Supercenter,https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg,True,False,https://www.yelp.com/biz/walmart-supercenter-rexburg-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592809,(208) 359-2809,6,2.0,"{'address1': '1450 North 2nd E', 'address2': None, 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['1450 North 2nd E', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8558969, 'longitude': -111.7738651}","['https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/kQlr4FM7e0QCqhs1wc-siw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/JvjyHS5ES2WDfRE9ThSuNg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
servicestations,Gas Stations,LAdaBjIKgg406ITEX2_Jzw,walmart-supercenter-rexburg-2,Walmart Supercenter,https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg,True,False,https://www.yelp.com/biz/walmart-supercenter-rexburg-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592809,(208) 359-2809,6,2.0,"{'address1': '1450 North 2nd E', 'address2': None, 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['1450 North 2nd E', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8558969, 'longitude': -111.7738651}","['https://s3-media3.fl.yelpcdn.com/bphoto/dYIgz3Q-E_2hlkdNqxa1lA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/kQlr4FM7e0QCqhs1wc-siw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/JvjyHS5ES2WDfRE9ThSuNg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
pharmacy,Pharmacy,EFkl89OAb6PBOLXmWepq1A,walmart-pharmacy-rexburg-2,Walmart Pharmacy,https://s3-media1.fl.yelpcdn.com/bphoto/3iyzp5-4HL9ajB7pJDNrvw/o.jpg,True,False,https://www.yelp.com/biz/walmart-pharmacy-rexburg-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083592814,(208) 359-2814,1,2.0,"{'address1': '1450 North 2nd E', 'address2': None, 'address3': None, 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['1450 North 2nd E', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.8565542, 'longitude': -111.7777019}","['https://s3-media1.fl.yelpcdn.com/bphoto/3iyzp5-4HL9ajB7pJDNrvw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/w04JRbG-Sy0rdLkACCyudA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
drugstores,Drugstores,Q2_WI0NSrTA-koRRywC4Pg,valley-medical-shoppe-rexburg,Valley Medical Shoppe,,False,False,https://www.yelp.com/biz/valley-medical-shoppe-rexburg?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+12083567913,(208) 356-7913,1,1.0,"{'address1': '146 N 2nd E', 'address2': '', 'address3': '', 'city': 'Rexburg', 'zip_code': '83440', 'country': 'US', 'state': 'ID', 'display_address': ['146 N 2nd E', 'Rexburg, ID 83440'], 'cross_streets': ''}","{'latitude': 43.82937, 'longitude': -111.77755}",[],
